Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster
Costa Rica,Latin America and Caribbean,6.955,1.939460825,7.051,6.86,1.561,1.373,0.316998127,0.661,-0.414001439,0.797,0.586118608,0.109,-2.216407397,0.123,0.116003676,2.333,0
Czechia,Central and Eastern Europe,6.822,1.920152684,6.903,6.741,1.783,1.511,0.412771683,0.638,-0.449416996,0.787,0.580538236,0.177,-1.731605546,0.068,0.065787741,1.858,0
Lithuania,Central and Eastern Europe,6.818,1.919566174,6.896,6.739,1.766,1.454,0.374318379,0.598,-0.514164525,0.533,0.4272266,0.044,-3.123565645,0.116,0.109750864,2.307,0
Slovenia,Central and Eastern Europe,6.743,1.90850493,6.843,6.643,1.786,1.502,0.406797553,0.695,-0.363843433,0.789,0.581656805,0.157,-1.851509474,0.131,0.123102197,1.683,0
United States,North America and ANZ,6.725,1.905831925,6.818,6.631,1.939,1.392,0.330741562,0.542,-0.612489278,0.586,0.461215123,0.223,-1.500583508,0.169,0.156148682,1.873,0
Mexico,Latin America and Caribbean,6.678,1.898818542,6.781,6.575,1.521,1.241,0.215917506,0.544,-0.608806032,0.722,0.543486406,0.086,-2.453407983,0.127,0.119559235,2.437,0
Uruguay,Latin America and Caribbean,6.611,1.888734928,6.696,6.527,1.596,1.431,0.358373501,0.592,-0.524248644,0.775,0.573800423,0.106,-2.244316185,0.22,0.198850859,1.891,0
Saudi Arabia,Middle East and North Africa,6.594,1.886160145,6.707,6.48,1.842,1.361,0.308219724,0.511,-0.671385689,0.787,0.580538236,0.114,-2.171556831,0.188,0.172271221,1.79,0
Kosovo,Central and Eastern Europe,6.561,1.88114303,6.667,6.455,1.364,1.277,0.244513577,0.599,-0.512493681,0.739,0.553310235,0.254,-1.370421012,0.073,0.070458464,2.255,0
Taiwan Province of China,East Asia,6.503,1.872263609,6.597,6.41,1.842,1.346,0.297137231,0.65,-0.430782916,0.649,0.500169044,0.068,-2.688247574,0.202,0.183986836,1.747,0
Romania,Central and Eastern Europe,6.491,1.870416602,6.592,6.39,1.699,1.236,0.211880359,0.583,-0.539568093,0.717,0.540578582,0.041,-3.194183212,0.006,0.005982072,2.21,0
El Salvador,Latin America and Caribbean,6.469,1.867021537,6.599,6.338,1.265,1.08,0.076961041,0.549,-0.599656837,0.816,0.59663628,0.083,-2.488914671,0.253,0.225540676,2.424,0
Poland,Central and Eastern Europe,6.442,1.862839051,6.513,6.37,1.738,1.417,0.348541961,0.639,-0.447850825,0.6,0.470003629,0.081,-2.513306124,0.175,0.161268148,1.791,0
Spain,Western Europe,6.421,1.859573869,6.502,6.339,1.766,1.471,0.385942442,0.729,-0.316081547,0.619,0.481808675,0.119,-2.128631786,0.177,0.162968828,1.54,0
Serbia,Central and Eastern Europe,6.411,1.858015265,6.522,6.3,1.538,1.391,0.330022913,0.585,-0.536143432,0.663,0.5086232,0.2,-1.609437912,0.101,0.096218858,1.932,0
Chile,Latin America and Caribbean,6.36,1.850028377,6.448,6.273,1.616,1.369,0.314080546,0.673,-0.396009949,0.651,0.501381165,0.117,-2.145581344,0.075,0.072320662,1.858,0
Panama,Latin America and Caribbean,6.358,1.849713862,6.489,6.227,1.702,1.392,0.330741562,0.633,-0.457284857,0.72,0.542324291,0.063,-2.764620553,0.043,0.042101176,1.806,0
Malta,Western Europe,6.346,1.847824693,6.43,6.261,1.827,1.444,0.36741704,0.707,-0.346724613,0.727,0.546385799,0.25,-1.386294361,0.125,0.117783036,1.267,0
Italy,Western Europe,6.324,1.844351919,6.436,6.211,1.8,1.328,0.283674051,0.72,-0.328504067,0.513,0.414094435,0.112,-2.189256408,0.074,0.071389996,1.777,0
Guatemala,Latin America and Caribbean,6.287,1.838484009,6.457,6.117,1.26,1.169,0.156148682,0.467,-0.761426021,0.735,0.551007413,0.105,-2.253794929,0.078,0.075107472,2.473,0
Nicaragua,Latin America and Caribbean,6.284,1.83800672,6.433,6.135,1.097,1.263,0.233489843,0.542,-0.612489278,0.793,0.583890195,0.133,-2.017406151,0.251,0.223943231,2.203,0
Brazil,Latin America and Caribbean,6.272,1.836095283,6.39,6.154,1.43,1.269,0.238229189,0.548,-0.601479992,0.685,0.521765564,0.13,-2.040220829,0.142,0.132781111,2.068,0
Slovakia,Central and Eastern Europe,6.257,1.833700837,6.332,6.182,1.706,1.54,0.431782416,0.638,-0.449416996,0.566,0.448524598,0.096,-2.343407088,0.058,0.056380333,1.653,0
Latvia,Central and Eastern Europe,6.234,1.830018181,6.314,6.155,1.7,1.508,0.41078427,0.564,-0.572701027,0.666,0.510425544,0.127,-2.063568193,0.078,0.075107472,1.59,0
