Country name,Regional indicator,Ladder score,lLadder score ,upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster
Venezuela,Latin America and Caribbean,5.607,1.724015817,5.725,5.489,0,1.321,0.278389026,0.491,-0.711311151,0.518,0.417393679,0.192,-1.650259907,0.086,0.082501222,2.998,1
Algeria,Middle East and North Africa,5.364,1.679709965,5.476,5.251,1.324,1.191,0.17479329,0.568,-0.56563386,0.247,0.220740667,0.091,-2.396895772,0.2,0.182321557,1.743,1
Congo (Brazzaville),Sub-Saharan Africa,5.221,1.652688954,5.396,5.047,0.892,0.622,-0.474815186,0.306,-1.184170177,0.523,0.420682074,0.124,-2.087473713,0.138,0.129272336,2.617,1
Mozambique,Sub-Saharan Africa,5.216,1.651730825,5.406,5.027,0.56,0.883,-0.124430078,0.156,-1.857899272,0.728,0.54696467,0.158,-1.845160246,0.196,0.178982656,2.536,1
Iraq,Middle East and North Africa,5.166,1.642098695,5.283,5.049,1.249,0.996,-0.004008021,0.498,-0.697155202,0.425,0.354171814,0.141,-1.958995389,0.048,0.046883586,1.809,1
Nepal,South Asia,5.158,1.640548907,5.29,5.027,0.965,0.99,-0.010050336,0.443,-0.814185509,0.653,0.502591819,0.209,-1.565421027,0.115,0.108854405,1.783,1
Laos,Southeast Asia,5.139,1.636858508,5.261,5.017,1.208,0.846,-0.167235919,0.423,-0.8603831,0.796,0.58556197,0.17,-1.771956842,0.167,0.154436353,1.529,1
Gabon,Sub-Saharan Africa,5.106,1.630416319,5.243,4.969,1.403,1.038,0.037295785,0.344,-1.067113622,0.516,0.416075287,0.045,-3.101092789,0.1,0.09531018,1.66,1
Ivory Coast,Sub-Saharan Africa,5.08,1.625311262,5.224,4.936,1.08,0.578,-0.54818141,0.288,-1.244794799,0.547,0.436317572,0.12,-2.120263536,0.164,0.151862349,2.303,1
Guinea,Sub-Saharan Africa,5.023,1.614027365,5.166,4.881,0.831,0.622,-0.474815186,0.236,-1.443923474,0.521,0.419368013,0.21,-1.560647748,0.107,0.101653654,2.497,1
Senegal,Sub-Saharan Africa,4.969,1.603218613,5.096,4.841,0.927,0.751,-0.286349627,0.392,-0.936493439,0.607,0.474369087,0.152,-1.883874758,0.069,0.066723632,2.071,1
Iran,Middle East and North Africa,4.923,1.593918101,5.024,4.822,1.435,1.136,0.12751332,0.571,-0.560366069,0.366,0.311886761,0.235,-1.448169765,0.123,0.116003676,1.057,1
Azerbaijan,Commonwealth of Independent States,4.893,1.587805612,5.018,4.768,1.433,0.876,-0.132389188,0.496,-0.701179352,0.668,0.511625304,0.112,-2.189256408,0.199,0.181487876,1.11,1
Nigeria,Sub-Saharan Africa,4.881,1.585350117,5.018,4.744,1.042,1.075,0.072320662,0.256,-1.362577835,0.566,0.448524598,0.201,-1.604450371,0.019,0.018821754,1.722,1
Cameroon,Sub-Saharan Africa,4.874,1.583914955,4.996,4.753,0.943,0.856,-0.155484903,0.288,-1.244794799,0.521,0.419368013,0.126,-2.071473372,0.06,0.058268908,2.08,1
Namibia,Sub-Saharan Africa,4.832,1.575260461,4.958,4.705,1.266,1.212,0.192271888,0.307,-1.180907531,0.47,0.385262401,0.069,-2.673648774,0.061,0.05921186,1.446,1
Morocco,Middle East and North Africa,4.795,1.567573708,4.912,4.677,1.213,0.471,-0.752897185,0.495,-0.703197516,0.631,0.489193324,0.042,-3.170085661,0.082,0.07881118,1.861,1
Pakistan,South Asia,4.657,1.538371464,4.779,4.535,1.069,0.6,-0.510825624,0.321,-1.136314156,0.542,0.433080275,0.144,-1.937941979,0.074,0.071389996,1.907,1
Niger,Sub-Saharan Africa,4.556,1.516445046,4.712,4.401,0.573,0.677,-0.390084006,0.293,-1.22758267,0.615,0.479334957,0.145,-1.931021537,0.147,0.137149838,2.107,1
Burkina Faso,Sub-Saharan Africa,4.548,1.514687576,4.686,4.41,0.756,0.685,-0.378336441,0.274,-1.294627173,0.483,0.394067063,0.173,-1.754463684,0.179,0.164666622,1.999,1
Mauritania,Sub-Saharan Africa,4.505,1.505187891,4.673,4.337,1.078,0.705,-0.349557476,0.4,-0.916290732,0.343,0.294905918,0.133,-2.017406151,0.198,0.1806535,1.649,1
Gambia,Sub-Saharan Africa,4.485,1.500738496,4.625,4.344,0.75,0.684,-0.379797361,0.33,-1.108662625,0.459,0.37775127,0.324,-1.127011763,0.048,0.046883586,1.89,1
Chad,Sub-Saharan Africa,4.471,1.497612097,4.63,4.313,0.603,0.805,-0.216913002,0.199,-1.614450454,0.411,0.344298673,0.218,-1.523260216,0.113,0.107059072,2.122,1
Kenya,Sub-Saharan Africa,4.47,1.497388409,4.595,4.344,1.037,0.895,-0.110931561,0.353,-1.041287222,0.519,0.418052224,0.282,-1.265848208,0.069,0.066723632,1.316,1
Tunisia,Middle East and North Africa,4.422,1.486592082,4.505,4.338,1.306,0.955,-0.046043939,0.579,-0.546452801,0.254,0.226338442,0.024,-3.729701449,0.018,0.017839918,1.285,1
Benin,Sub-Saharan Africa,4.377,1.476363558,4.51,4.245,0.914,0.128,-2.055725015,0.284,-1.258781041,0.567,0.449162963,0.112,-2.189256408,0.252,0.224742273,2.121,1
Uganda,Sub-Saharan Africa,4.372,1.47522057,4.501,4.243,0.772,1.151,0.14063113,0.373,-0.986176859,0.587,0.461845442,0.178,-1.725971729,0.054,0.05259245,1.256,1
Myanmar,Southeast Asia,4.354,1.471094963,4.501,4.208,0.978,0.988,-0.012072581,0.436,-0.830113036,0.45,0.371563556,0.401,-0.913793852,0.174,0.160416721,0.928,1
Cambodia,Southeast Asia,4.341,1.468104736,4.446,4.236,1.011,1.019,0.018821754,0.442,-0.816445397,0.863,0.622188092,0.17,-1.771956842,0.071,0.068592791,0.765,1
Ghana,Sub-Saharan Africa,4.289,1.456053606,4.396,4.182,1.077,0.747,-0.291690094,0.36,-1.021651248,0.623,0.484276289,0.183,-1.698269126,0.028,0.027615167,1.273,1
Liberia,Sub-Saharan Africa,4.269,1.451379608,4.474,4.063,0.619,0.673,-0.396009949,0.301,-1.200645014,0.546,0.43567095,0.178,-1.725971729,0.075,0.072320662,1.878,1
Mali,Sub-Saharan Africa,4.232,1.442674695,4.347,4.117,0.747,0.688,-0.373966441,0.267,-1.320506621,0.586,0.461215123,0.12,-2.120263536,0.09,0.086177696,1.734,1
Madagascar,Sub-Saharan Africa,4.228,1.441729068,4.359,4.097,0.628,0.823,-0.194799078,0.333,-1.099612789,0.25,0.223143551,0.172,-1.760260802,0.123,0.116003676,1.897,1
Togo,Sub-Saharan Africa,4.214,1.438412315,4.33,4.098,0.758,0.586,-0.534435489,0.32,-1.139434283,0.453,0.373630385,0.127,-2.063568193,0.156,0.14496577,1.814,1
