Country name,Regional indicator,Ladder score,lLadder score),upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster,Region_Central and Eastern Europe,Region_Commonwealth of Independent States,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and North Africa,Region_North America and ANZ,Region_South Asia,Region_Southeast Asia,Region_Sub-Saharan Africa,Region_Western Europe
Costa Rica,Latin America and Caribbean,6.955,0.842297134,7.051,6.86,1.561,1.373,0.137670537,0.661,-0.179798541,0.797,0.254548077,0.109,0.044931546,0.123,0.050379756,2.333,0,0,0,0,1,0,0,0,0,0,0
Czechia,Central and Eastern Europe,6.822,0.833911715,6.903,6.741,1.783,1.511,0.179264464,0.638,-0.195179321,0.787,0.252124553,0.177,0.070776463,0.068,0.028571253,1.858,0,1,0,0,0,0,0,0,0,0,0
Lithuania,Central and Eastern Europe,6.818,0.833656997,6.896,6.739,1.766,1.454,0.162564407,0.598,-0.223298816,0.533,0.185542155,0.044,0.018700499,0.116,0.047664195,2.307,0,1,0,0,0,0,0,0,0,0,0
Slovenia,Central and Eastern Europe,6.743,0.82885316,6.843,6.643,1.786,1.502,0.176669933,0.695,-0.158015195,0.789,0.252610341,0.157,0.063333359,0.131,0.053462605,1.683,0,1,0,0,0,0,0,0,0,0,0
United States,North America and ANZ,6.725,0.827692289,6.818,6.631,1.939,1.392,0.143639235,0.542,-0.266000713,0.586,0.200303183,0.223,0.087426457,0.169,0.067814511,1.873,0,0,0,0,0,0,1,0,0,0,0
Mexico,Latin America and Caribbean,6.678,0.824646415,6.781,6.575,1.521,1.241,0.093771781,0.544,-0.2644011,0.722,0.236033147,0.086,0.035829825,0.127,0.051923916,2.437,0,0,0,0,1,0,0,0,0,0,0
Uruguay,Latin America and Caribbean,6.611,0.820267157,6.696,6.527,1.596,1.431,0.155639634,0.592,-0.227678293,0.775,0.249198357,0.106,0.043755127,0.22,0.086359831,1.891,0,0,0,0,1,0,0,0,0,0,0
Saudi Arabia,Middle East and North Africa,6.594,0.819148943,6.707,6.48,1.842,1.361,0.133858125,0.511,-0.2915791,0.787,0.252124553,0.114,0.046885191,0.188,0.074816441,1.79,0,0,0,0,0,1,0,0,0,0,0
Kosovo,Central and Eastern Europe,6.561,0.816970038,6.667,6.455,1.364,1.277,0.106190897,0.599,-0.222573178,0.739,0.240299582,0.254,0.098297536,0.073,0.030599722,2.255,0,1,0,0,0,0,0,0,0,0,0
Taiwan Province of China,East Asia,6.503,0.813113754,6.597,6.41,1.842,1.346,0.12904506,0.65,-0.187086643,0.649,0.217220656,0.068,0.028571253,0.202,0.079904468,1.747,0,0,0,1,0,0,0,0,0,0,0
